[INFO] 2021-10-20 20:52:45.800346319 -03:00: [Main] reservations.csv: 
origin,destination,airline,package
NQN,AEP,AERO_1,false
EZE,FCO,AERO_2,true
AEP,IGR,AERO_1,true
EZE,FCO,AERO_2,true
EZE,IGR,AERO_2,false
NQN,AEQ,AERO_1,false
EZE,FCS,AERO_2,true
AEQ,IGE,AERO_1,true
EZṔ,IGA,AERO_2,false
NQS,AEB,AERO_3,false
EZX,FCC,AERO_2,true
BEP,IGD,AERO_1,true
CZE,IGE,AERO_3,false
AQN,AEF,AERO_1,false
LZE,FCG,AERO_3,true
PEP,IGR,AERO_1,true
OZE,IGH,AERO_4,false
AQN,AEI,AERO_1,false
ZZE,FCJ,AERO_2,true
CEP,IGA,AERO_1,true
OZE,IGR,AERO_2,false

